,鄉鎮,年度,月份,旬,平均值,
台東縣,台東地區,2014,6,1,97.4,0
台東縣,台東地區,2014,5,3,0,99999
台東縣,台東地區,2014,5,1,82.2,99999
台東縣,台東地區,2014,4,2,35.8,99999
台東縣,台東地區,2014,3,2,28,99999
台東縣,台東地區,2014,2,3,42.4,50.8
台東縣,台東地區,2014,2,2,50.8,66.4
台東縣,台東地區,2014,2,1,66.4,55.6
台東縣,台東地區,2014,1,3,55.6,99999
台東縣,台東地區,2014,1,1,97.2,65.8
台東縣,台東地區,2013,12,3,65.8,101
台東縣,台東地區,2013,12,2,101,108.2
台東縣,台東地區,2013,12,1,108.2,99999
台東縣,台東地區,2013,11,2,83.4,149.6
台東縣,台東地區,2013,11,1,149.6,370.8
台東縣,台東地區,2013,10,3,370.8,231.8
台東縣,台東地區,2013,10,2,231.8,310
台東縣,台東地區,2013,10,1,310,356.4
台東縣,台東地區,2013,9,3,356.4,272.2
台東縣,台東地區,2013,9,2,272.2,378.6
台東縣,台東地區,2013,9,1,378.6,251.8
台東縣,台東地區,2013,8,3,251.8,99999
台東縣,台東地區,2013,8,1,293.8,220
台東縣,台東地區,2013,7,3,220,120.4
台東縣,台東地區,2013,7,2,120.4,139.4
台東縣,台東地區,2013,7,1,139.4,99999
台東縣,台東地區,2013,6,2,0,99999
台東縣,台東地區,2013,5,3,87.6,69
台東縣,台東地區,2013,5,2,69,87
台東縣,台東地區,2013,5,1,87,111.4
台東縣,台東地區,2013,4,3,111.4,115.2
台東縣,台東地區,2013,4,2,115.2,99999
台南市,大內區,2016,5,3,68.56,62.56
台南市,大內區,2016,5,2,62.56,56.33
台南市,大內區,2016,5,1,56.33,51.11
台南市,大內區,2016,4,3,51.11,47.89
台南市,大內區,2016,4,2,47.89,40
台南市,大內區,2016,4,1,40,42.2
台南市,大內區,2016,3,3,42.2,31.8
台南市,大內區,2016,3,2,31.8,33.9
台南市,大內區,2016,3,1,33.9,21.4
台南市,大內區,2016,2,3,21.4,14.1
台南市,大內區,2016,2,2,14.1,16.2
台南市,大內區,2016,2,1,16.2,15.2
台南市,大內區,2016,1,3,15.2,21.7
台南市,大內區,2016,1,2,21.7,33
台南市,大內區,2016,1,1,33,39.44444444
台南市,大內區,2015,12,3,39.44444444,99999
台南市,大內區,2015,12,1,63.55555556,74.1
台南市,大內區,2015,11,3,74.1,85.4
台南市,大內區,2015,11,2,85.4,100.3
台南市,大內區,2015,11,1,100.3,103.2
台南市,大內區,2015,10,3,103.2,127.7
台南市,大內區,2015,10,2,127.7,125.2
台南市,大內區,2015,10,1,125.2,143.1
台南市,大內區,2015,9,3,143.1,144.6
台南市,大內區,2015,9,2,144.6,158.9
台南市,大內區,2015,9,1,158.9,167.1
台南市,大內區,2015,8,3,167.1,174.4
台南市,大內區,2015,8,2,174.4,194.3
台南市,大內區,2015,8,1,194.3,174.1
台南市,大內區,2015,7,3,174.1,154.6
台南市,大內區,2015,7,2,154.6,144.1
台南市,大內區,2015,7,1,144.1,99999
台南市,大內區,2015,6,2,104.7,90.4
台南市,大內區,2015,6,1,90.4,86.9
台南市,大內區,2015,5,3,86.9,81.9
台南市,大內區,2015,5,2,81.9,73
台南市,大內區,2015,5,1,73,67
台南市,大內區,2015,4,3,67,54.7
台南市,大內區,2015,4,2,54.7,55.9
台南市,大內區,2015,4,1,55.9,49
台南市,大內區,2015,3,3,49,46.9
台南市,大內區,2015,3,2,46.9,40.3
台南市,大內區,2015,3,1,40.3,35.8
台南市,大內區,2015,2,3,35.8,31.9
台南市,大內區,2015,2,2,31.9,30.1
台南市,大內區,2015,2,1,30.1,32.2
台南市,大內區,2015,1,3,32.2,30.1
台南市,大內區,2015,1,2,30.1,34.6
台南市,大內區,2015,1,1,34.6,46.2
台南市,大內區,2014,12,3,46.2,0
台南市,大內區,2014,12,2,0,0
台南市,大內區,2014,12,1,0,0
台南市,大內區,2014,11,3,0,72.4
台南市,大內區,2014,11,2,72.4,79
台南市,大內區,2014,11,1,79,96.1
台南市,大內區,2014,10,3,96.1,106.4
台南市,大內區,2014,10,2,106.4,117.2
台南市,大內區,2014,10,1,117.2,120.2
台南市,大內區,2014,9,3,120.2,127.4
台南市,大內區,2014,9,2,127.4,135
台南市,大內區,2014,9,1,135,152
台南市,大內區,2014,8,3,152,0
台南市,大內區,2014,8,2,0,186.8
台南市,大內區,2014,8,1,186.8,155.7
台南市,大內區,2014,7,3,155.7,137.4
台南市,大內區,2014,7,2,137.4,124.1
台南市,大內區,2014,7,1,124.1,0
台南市,大內區,2014,6,3,0,96
台南市,大內區,2014,6,2,96,80.7
台南市,大內區,2014,6,1,80.7,0
台南市,大內區,2014,5,3,0,67.67
台南市,大內區,2014,5,2,67.67,65.89
台南市,大內區,2014,5,1,65.89,55.44
台南市,大內區,2014,4,3,55.44,51.11
台南市,大內區,2014,4,2,51.11,50.56
台南市,大內區,2014,4,1,50.56,45.78
台南市,大內區,2014,3,3,45.78,42.89
台南市,大內區,2014,3,2,42.89,38.11
台南市,大內區,2014,3,1,38.11,37.8
台南市,大內區,2014,2,3,37.8,32.4
台南市,大內區,2014,2,2,32.4,28
台南市,大內區,2014,2,1,28,31.4
台南市,大內區,2014,1,3,31.4,30.8
台南市,大內區,2014,1,2,30.8,35.1
台南市,大內區,2014,1,1,35.1,46
台南市,大內區,2013,12,3,46,56.1
台南市,大內區,2013,12,2,56.1,64
台南市,大內區,2013,12,1,64,74.2
台南市,大內區,2013,11,3,74.2,86.3
台南市,大內區,2013,11,2,86.3,88.6
